Chapter,ID,CharacterName,Portrait,DialogueBox,Text,Side,Voice
1,1,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,真白，你來了啊,L,
1,2,真白,White_00,White_DialogueBox_01,下課沒事就提早來看看妳需不需要幫忙,R,
1,3,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,謝謝妳，我正在把等等營業要用的東西整理好,L,
1,4,紅咲,HONGXIAO_01,HONGXIAO_DialogueBox_00,有你的幫助說不定很快就能整理完,L,
1,5,真白,White_00,White_DialogueBox_01,"對了紅咲妳不是說那隻 ""臭章魚"" 有事找我，\n怎麼不見蹤影",R,
1,6,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,這麼說店長今天一直待在班公室裡的樣子,L,
1,7,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,平時都很有活力的樣子，是不是生病了?,L,
1,8,真白,White_00,White_DialogueBox_01,不知道今天又在搞甚麼把戲，我們直接去找他吧!,R,
1,9,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,也是，我們去找店長吧!,L,
1,10,店長,BossOctopus_02,BossOctopus_DialogueBox_01,…,R,
1,11,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,…,L,
1,12,真白,White_00,White_DialogueBox_01,…,R,
1,13,紅咲,HONGXIAO_00,HONGXIAO_DialogueBox_00,店…店長,L,
1,14,店長,BossOctopus_02,BossOctopus_DialogueBox_01,…,R,
1,15,真白,White_00,White_DialogueBox_00,(緩緩將右手舉起來),L,
1,16,真白,White_02,White_DialogueBox_00,(啪!),L,
1,17,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,!!!,L,
1,18,店長,BossOctopus_00,BossOctopus_DialogueBox_01,啊……腦袋…腦袋啊!,R,
1,19,紅咲,HONGXIAO_02,HONGXIAO_DialogueBox_00,真白!太用力了你看店長都痛到臉發紅了,L,
1,20,真白,White_00,White_DialogueBox_01,不是，他本身就是紅紅的妳是怎麼看出他臉紅了,R,
1,21,店長,BossOctopus_02,BossOctopus_DialogueBox_00,痛死我了，妳就不能溫柔一點嗎!,L,
1,22,真白,White_01,White_DialogueBox_01,我已經收很多力了,R,
1,23,店長,BossOctopus_02,BossOctopus_DialogueBox_00,真是的現在的年輕人還真不體貼,L,
1,24,真白,White_02,White_DialogueBox_01,(再次緩緩的舉起右手),R,
